,Carrier Code,Date (MM/DD/YYYY),Flight Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Taxi-In time (Minutes),Delay Carrier (Minutes)_x,Delay Weather (Minutes)_x,Delay National Aviation System (Minutes)_x,Delay Security (Minutes)_x,Delay Late Aircraft Arrival (Minutes)_x,scheduled_arrival_time,actual_arrival_time,date_x,date_time_x,app_temp_x,dewpt_x,precip_rate_x,rh_x,temp_x,uv_x,vis_x,weather.code_x,wind_gust_spd_x,wind_spd_x,timestamp_local_x,snow_rate_x,key_x,date_time_map_x,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Taxi-Out time (Minutes),Delay Carrier (Minutes)_y,Delay Weather (Minutes)_y,Delay National Aviation System (Minutes)_y,Delay Security (Minutes)_y,Delay Late Aircraft Arrival (Minutes)_y,scheduled_departure_time,actual_departure_time,date_y,date_time_y,app_temp_y,dewpt_y,precip_rate_y,rh_y,temp_y,uv_y,vis_y,weather.code_y,wind_gust_spd_y,wind_spd_y,timestamp_local_y,snow_rate_y,key_y,date_time_map_y,diff
6447,UA,06/28/2022,288,ORD,16:50,00:00,115,0,0,0,0,0,0,0,0,2022-06-28 16:50:00,2022-06-28 00:00:00,2022-06-28,2022-06-28 16:50:00,22.3,12.0,0.0,51,22.6,2.0,16,804,6.1,3.72,2022-06-28 16:45:00,0.0,SYR,2022-06-28 16:45:00,SYR,13:55,00:00,115,0,0,0,0,0,0,0,0,2022-06-28 14:55:00,2022-06-28 01:00:00,2022-06-28,2022-06-28 13:55:00,27.1,9.7,0.0,32,27.9,3.9,16,804,8.5,3.84,2022-06-28 14:00:00,0.0,ORD,2022-06-28 14:00:00,-60.0
6507,UA,07/04/2022,288,ORD,16:53,00:00,115,0,0,0,0,0,0,0,0,2022-07-04 16:53:00,2022-07-04 00:00:00,2022-07-04,2022-07-04 16:53:00,26.7,12.0,0.0,40,26.7,1.8,16,804,8.0,5.7,2022-07-04 17:00:00,0.0,SYR,2022-07-04 17:00:00,SYR,13:58,00:00,115,0,0,0,0,0,0,0,0,2022-07-04 14:58:00,2022-07-04 01:00:00,2022-07-04,2022-07-04 13:58:00,29.1,17.3,0.5,51,28.5,3.7,16,804,9.2,5.09,2022-07-04 14:00:00,0.0,ORD,2022-07-04 14:00:00,-60.0
6576,UA,07/11/2022,288,ORD,16:53,00:00,115,0,0,0,0,0,0,0,0,2022-07-11 16:53:00,2022-07-11 00:00:00,2022-07-11,2022-07-11 16:53:00,31.8,11.2,0.0,26,33.3,2.9,16,803,10.3,6.7,2022-07-11 17:00:00,0.0,SYR,2022-07-11 17:00:00,SYR,13:58,00:00,115,0,0,0,0,0,0,0,0,2022-07-11 14:58:00,2022-07-11 01:00:00,2022-07-11,2022-07-11 13:58:00,28.9,20.9,0.0,69,27.1,4.4,16,804,11.2,6.2,2022-07-11 14:00:00,0.0,ORD,2022-07-11 14:00:00,-60.0
6610,OO,07/15/2022,5573,ORD,10:05,00:00,110,0,0,0,0,0,0,0,0,2022-07-15 10:05:00,2022-07-15 00:00:00,2022-07-15,2022-07-15 10:05:00,22.9,11.0,0.0,46,23.3,4.6,16,802,4.4,0.4,2022-07-15 10:00:00,0.0,SYR,2022-07-15 10:00:00,SYR,07:15,00:00,110,0,0,0,0,0,0,0,0,2022-07-15 08:15:00,2022-07-15 01:00:00,2022-07-15,2022-07-15 07:15:00,20.4,16.6,2.25,80,20.2,0.6,13,500,6.6,1.2,2022-07-15 07:15:00,0.0,ORD,2022-07-15 07:15:00,-60.0
6729,UA,07/28/2022,288,ORD,16:53,00:00,115,0,0,0,0,0,0,0,0,2022-07-28 16:53:00,2022-07-28 00:00:00,2022-07-28,2022-07-28 16:53:00,29.7,19.2,0.0,58,28.3,1.6,16,804,9.6,4.09,2022-07-28 17:00:00,0.0,SYR,2022-07-28 17:00:00,SYR,13:58,00:00,115,0,0,0,0,0,0,0,0,2022-07-28 14:58:00,2022-07-28 01:00:00,2022-07-28,2022-07-28 13:58:00,25.5,12.6,0.0,44,25.7,3.6,16,804,10.0,5.42,2022-07-28 14:00:00,0.0,ORD,2022-07-28 14:00:00,-60.0
6782,UA,08/03/2022,1559,ORD,16:50,00:00,115,0,0,0,0,0,0,0,0,2022-08-03 16:50:00,2022-08-03 00:00:00,2022-08-03,2022-08-03 16:50:00,30.7,13.0,0.0,32,31.7,2.8,16,803,7.3,4.47,2022-08-03 16:45:00,0.0,SYR,2022-08-03 16:45:00,SYR,13:55,13:53,115,0,-2,0,0,0,0,0,0,2022-08-03 14:55:00,2022-08-03 14:53:00,2022-08-03,2022-08-03 13:55:00,34.7,21.4,0.5,55,31.6,5.8,16,803,15.9,7.2,2022-08-03 14:00:00,0.0,ORD,2022-08-03 14:00:00,-893.0
6783,YX,08/03/2022,4794,ORD,18:01,00:00,111,0,0,0,0,0,0,0,0,2022-08-03 18:01:00,2022-08-03 00:00:00,2022-08-03,2022-08-03 18:01:00,31.2,12.9,0.0,31,32.2,1.7,16,803,4.8,4.09,2022-08-03 18:00:00,0.0,SYR,2022-08-03 18:00:00,SYR,15:10,00:00,111,0,0,0,0,0,0,0,0,2022-08-03 16:10:00,2022-08-03 01:00:00,2022-08-03,2022-08-03 15:10:00,32.1,19.3,0.25,51,30.6,3.6,16,803,11.4,6.2,2022-08-03 15:15:00,0.0,ORD,2022-08-03 15:15:00,-60.0
6784,YX,08/03/2022,4798,ORD,23:18,00:00,113,0,0,0,0,0,0,0,0,2022-08-03 23:18:00,2022-08-03 00:00:00,2022-08-03,2022-08-03 23:18:00,24.8,14.9,0.0,54,24.9,0.0,16,804,7.3,2.85,2022-08-03 23:15:00,0.0,SYR,2022-08-03 23:15:00,SYR,20:25,00:00,113,0,0,0,0,0,0,0,0,2022-08-03 21:25:00,2022-08-03 01:00:00,2022-08-03,2022-08-03 20:25:00,29.8,20.5,0.25,64,27.9,0.0,16,804,7.8,3.75,2022-08-03 20:30:00,0.0,ORD,2022-08-03 20:30:00,-60.0
6816,UA,08/07/2022,1559,ORD,16:50,00:00,115,0,0,0,0,0,0,0,0,2022-08-07 16:50:00,2022-08-07 00:00:00,2022-08-07,2022-08-07 16:50:00,34.8,20.3,0.0,49,32.4,2.8,16,803,6.5,4.19,2022-08-07 16:45:00,0.0,SYR,2022-08-07 16:45:00,SYR,13:55,00:00,115,0,0,0,0,0,0,0,0,2022-08-07 14:55:00,2022-08-07 01:00:00,2022-08-07,2022-08-07 13:55:00,26.0,23.2,1.5,89,25.1,2.9,16,500,9.2,3.72,2022-08-07 14:00:00,0.0,ORD,2022-08-07 14:00:00,-60.0
6817,YX,08/07/2022,4794,ORD,18:01,00:00,111,0,0,0,0,0,0,0,0,2022-08-07 18:01:00,2022-08-07 00:00:00,2022-08-07,2022-08-07 18:01:00,34.8,19.6,0.0,46,32.8,1.7,16,803,6.2,6.2,2022-08-07 18:00:00,0.0,SYR,2022-08-07 18:00:00,SYR,15:10,00:00,111,0,0,0,0,0,0,0,0,2022-08-07 16:10:00,2022-08-07 01:00:00,2022-08-07,2022-08-07 15:10:00,27.0,23.2,1.25,84,26.1,2.4,16,500,8.5,2.35,2022-08-07 15:15:00,0.0,ORD,2022-08-07 15:15:00,-60.0
6822,YX,08/08/2022,4907,ORD,12:43,00:00,113,0,0,0,0,0,0,0,0,2022-08-08 12:43:00,2022-08-08 00:00:00,2022-08-08,2022-08-08 12:43:00,35.9,21.2,0.0,51,32.6,6.2,16,803,11.8,7.2,2022-08-08 12:45:00,0.0,SYR,2022-08-08 12:45:00,SYR,09:50,00:00,113,0,0,0,0,0,0,0,0,2022-08-08 10:50:00,2022-08-08 01:00:00,2022-08-08,2022-08-08 09:50:00,24.5,21.0,0.5,84,23.9,2.0,16,804,10.3,6.2,2022-08-08 09:45:00,0.0,ORD,2022-08-08 09:45:00,-60.0
6825,YX,08/08/2022,4840,ORD,23:18,00:00,113,0,0,0,0,0,0,0,0,2022-08-08 23:18:00,2022-08-08 00:00:00,2022-08-08,2022-08-08 23:18:00,29.4,20.8,0.0,67,27.5,0.0,16,804,8.5,5.42,2022-08-08 23:15:00,0.0,SYR,2022-08-08 23:15:00,SYR,20:25,00:00,113,0,0,0,0,0,0,0,0,2022-08-08 21:25:00,2022-08-08 01:00:00,2022-08-08,2022-08-08 20:25:00,19.4,15.7,0.0,79,19.4,0.0,16,804,9.1,5.4,2022-08-08 20:30:00,0.0,ORD,2022-08-08 20:30:00,-60.0
6829,B6,08/09/2022,2516,JFK,00:13,00:00,74,0,0,0,0,0,0,0,0,2022-08-09 00:13:00,2022-08-09 00:00:00,2022-08-09,2022-08-09 00:13:00,25.5,21.4,0.25,81,24.9,0.0,15,804,9.0,3.97,2022-08-09 00:15:00,0.0,SYR,2022-08-09 00:15:00,SYR,22:59,00:29,74,0,90,0,0,0,0,0,0,2022-08-09 22:59:00,2022-08-09 00:29:00,2022-08-09,2022-08-09 22:59:00,31.6,22.8,0.0,72,28.3,0.0,16,804,4.8,4.09,2022-08-09 23:00:00,0.0,JFK,2022-08-09 23:00:00,-29.0
7001,MQ,08/28/2022,3330,ORD,23:12,00:00,108,0,0,0,0,0,0,0,0,2022-08-28 23:12:00,2022-08-28 00:00:00,2022-08-28,2022-08-28 23:12:00,23.4,17.2,0.0,69,23.2,0.0,16,803,7.9,2.85,2022-08-28 23:15:00,0.0,SYR,2022-08-28 23:15:00,SYR,20:24,00:00,108,0,0,0,0,0,0,0,0,2022-08-28 21:24:00,2022-08-28 01:00:00,2022-08-28,2022-08-28 20:24:00,24.7,22.2,0.0,90,23.9,0.0,16,804,10.6,1.8,2022-08-28 20:30:00,0.0,ORD,2022-08-28 20:30:00,-60.0
7006,UA,08/29/2022,1559,ORD,16:50,00:00,115,0,0,0,0,0,0,0,0,2022-08-29 16:50:00,2022-08-29 00:00:00,2022-08-29,2022-08-29 16:50:00,35.8,19.2,0.0,42,33.9,1.3,16,804,12.3,8.4,2022-08-29 16:45:00,0.0,SYR,2022-08-29 16:45:00,SYR,13:55,15:15,115,0,80,0,0,0,0,0,0,2022-08-29 14:55:00,2022-08-29 16:15:00,2022-08-29,2022-08-29 13:55:00,22.2,18.8,2.0,83,21.8,4.4,16,500,10.0,4.84,2022-08-29 14:00:00,0.0,ORD,2022-08-29 14:00:00,-975.0
7007,MQ,08/29/2022,4203,ORD,17:45,00:00,106,0,0,0,0,0,0,0,0,2022-08-29 17:45:00,2022-08-29 00:00:00,2022-08-29,2022-08-29 17:45:00,34.8,19.2,0.0,44,33.1,1.4,16,803,12.5,9.17,2022-08-29 17:45:00,0.0,SYR,2022-08-29 17:45:00,SYR,14:59,00:00,106,0,0,0,0,0,0,0,0,2022-08-29 15:59:00,2022-08-29 01:00:00,2022-08-29,2022-08-29 14:59:00,23.0,19.0,0.0,80,22.6,2.4,16,804,10.4,4.22,2022-08-29 15:00:00,0.0,ORD,2022-08-29 15:00:00,-60.0
7114,B6,09/09/2022,412,JFK,09:19,11:33,69,0,0,3,0,0,0,0,0,2022-09-09 09:19:00,2022-09-09 11:33:00,2022-09-09,2022-09-09 09:19:00,18.7,16.2,0.0,86,18.6,0.9,16,804,3.3,0.37,2022-09-09 09:15:00,0.0,SYR,2022-09-09 09:15:00,SYR,08:10,08:06,69,0,-4,43,0,0,0,0,0,2022-09-09 08:10:00,2022-09-09 08:06:00,2022-09-09,2022-09-09 08:10:00,18.7,14.1,0.0,74,18.9,1.8,16,802,6.4,4.59,2022-09-09 08:15:00,0.0,JFK,2022-09-09 08:15:00,207.0
7777,MQ,11/05/2022,3518,ORD,16:04,00:00,116,0,0,0,0,0,0,0,0,2022-11-05 16:04:00,2022-11-05 00:00:00,2022-11-05,2022-11-05 16:04:00,24.3,14.2,0.0,53,24.4,0.8,16,804,14.9,9.3,2022-11-05 16:00:00,0.0,SYR,2022-11-05 16:00:00,SYR,13:08,00:00,116,0,0,0,0,0,0,0,0,2022-11-05 14:08:00,2022-11-05 01:00:00,2022-11-05,2022-11-05 13:08:00,12.5,8.2,0.0,75,12.5,1.1,16,804,21.4,13.73,2022-11-05 13:15:00,0.0,ORD,2022-11-05 13:15:00,-60.0
7778,OO,11/05/2022,5271,ORD,16:49,00:00,110,0,0,0,0,0,0,0,0,2022-11-05 16:49:00,2022-11-05 00:00:00,2022-11-05,2022-11-05 16:49:00,23.9,13.9,0.0,53,24.0,1.1,16,803,13.0,9.67,2022-11-05 16:45:00,0.0,SYR,2022-11-05 16:45:00,SYR,13:59,00:00,110,0,0,0,0,0,0,0,0,2022-11-05 14:59:00,2022-11-05 01:00:00,2022-11-05,2022-11-05 13:59:00,11.3,5.4,0.0,67,11.3,1.1,16,804,24.9,14.4,2022-11-05 14:00:00,0.0,ORD,2022-11-05 14:00:00,-60.0
7781,MQ,11/05/2022,3392,ORD,21:57,00:00,107,0,0,0,0,0,0,0,0,2022-11-05 21:57:00,2022-11-05 00:00:00,2022-11-05,2022-11-05 21:57:00,22.5,12.7,0.0,53,22.8,0.0,16,804,15.4,10.3,2022-11-05 22:00:00,0.0,SYR,2022-11-05 22:00:00,SYR,19:10,00:00,107,0,0,0,0,0,0,0,0,2022-11-05 20:10:00,2022-11-05 01:00:00,2022-11-05,2022-11-05 19:10:00,9.2,3.6,0.0,68,9.2,0.0,16,803,17.0,10.46,2022-11-05 19:15:00,0.0,ORD,2022-11-05 19:15:00,-60.0
7908,MQ,11/16/2022,3518,ORD,15:56,00:00,116,0,0,0,0,0,0,0,0,2022-11-16 15:56:00,2022-11-16 00:00:00,2022-11-16,2022-11-16 15:56:00,0.6,-0.7,0.0,64,5.6,0.7,16,804,9.3,9.3,2022-11-16 16:00:00,0.0,SYR,2022-11-16 16:00:00,SYR,13:00,00:00,116,0,0,0,0,0,0,0,0,2022-11-16 14:00:00,2022-11-16 01:00:00,2022-11-16,2022-11-16 13:00:00,-1.6,-0.1,0.0,85,2.2,0.9,5,804,8.0,4.09,2022-11-16 13:00:00,0.0,ORD,2022-11-16 13:00:00,-60.0
8051,B6,11/29/2022,16,JFK,09:20,11:54,70,0,0,4,0,0,0,0,0,2022-11-29 09:20:00,2022-11-29 11:54:00,2022-11-29,2022-11-29 09:20:00,0.1,-1.4,0.0,73,2.9,0.6,16,804,4.8,2.85,2022-11-29 09:15:00,0.0,SYR,2022-11-29 09:15:00,SYR,08:10,08:11,70,0,1,15,0,0,0,0,0,2022-11-29 08:10:00,2022-11-29 08:11:00,2022-11-29,2022-11-29 08:10:00,0.6,-1.6,0.0,70,3.3,1.0,16,803,4.0,2.85,2022-11-29 08:15:00,0.0,JFK,2022-11-29 08:15:00,223.0
8311,MQ,12/22/2022,3392,ORD,20:19,00:00,106,0,0,0,0,0,0,0,0,2022-12-22 20:19:00,2022-12-22 00:00:00,2022-12-22,2022-12-22 20:19:00,-4.3,0.1,0.0,92,1.3,0.0,16,804,17.1,7.07,2022-12-22 20:15:00,0.0,SYR,2022-12-22 20:15:00,SYR,17:33,00:00,106,0,0,0,0,0,0,0,0,2022-12-22 18:33:00,2022-12-22 01:00:00,2022-12-22,2022-12-22 17:33:00,-25.4,-18.9,1.0,72,-15.0,0.0,1,600,11.6,7.25,2022-12-22 17:30:00,30.0,ORD,2022-12-22 17:30:00,-60.0
8319,MQ,12/23/2022,3518,ORD,16:02,00:00,117,0,0,0,0,0,0,0,0,2022-12-23 16:02:00,2022-12-23 00:00:00,2022-12-23,2022-12-23 16:02:00,-20.4,-12.8,0.0,76,-9.4,0.4,2,721,17.0,12.4,2022-12-23 16:00:00,0.0,SYR,2022-12-23 16:00:00,SYR,13:05,00:00,117,0,0,0,0,0,0,0,0,2022-12-23 14:05:00,2022-12-23 01:00:00,2022-12-23,2022-12-23 13:05:00,-33.1,-24.5,0.0,61,-18.9,0.6,4,804,18.8,12.1,2022-12-23 13:00:00,0.0,ORD,2022-12-23 13:00:00,-60.0
8697,B6,02/03/2023,116,JFK,14:29,10:20,73,0,0,25,0,0,0,0,0,2023-02-03 14:29:00,2023-02-03 10:20:00,2023-02-03,2023-02-03 14:29:00,-29.3,-21.1,0.0,65,-16.1,0.6,1,721,19.4,12.03,2023-02-03 14:30:00,0.0,SYR,2023-02-03 14:30:00,SYR,13:16,13:08,73,0,-8,16,0,0,0,0,0,2023-02-03 13:16:00,2023-02-03 13:08:00,2023-02-03,2023-02-03 13:16:00,-13.8,-20.7,0.0,26,-4.1,1.9,16,803,16.7,14.43,2023-02-03 13:15:00,0.0,JFK,2023-02-03 13:15:00,-168.0
8700,9E,02/03/2023,5224,JFK,18:01,00:00,86,0,0,0,0,0,0,0,0,2023-02-03 18:01:00,2023-02-03 00:00:00,2023-02-03,2023-02-03 18:01:00,-28.1,-19.5,0.0,79,-16.7,0.0,1,721,12.4,8.19,2023-02-03 18:00:00,0.0,SYR,2023-02-03 18:00:00,SYR,16:35,16:35,86,0,0,0,0,0,0,0,0,2023-02-03 16:35:00,2023-02-03 16:35:00,2023-02-03,2023-02-03 16:35:00,-17.5,-22.2,0.0,28,-6.8,0.8,16,803,20.8,14.26,2023-02-03 16:30:00,0.0,JFK,2023-02-03 16:30:00,-995.0
8703,MQ,02/03/2023,3392,ORD,22:24,00:00,104,0,0,0,0,0,0,0,0,2023-02-03 22:24:00,2023-02-03 00:00:00,2023-02-03,2023-02-03 22:24:00,-33.6,-25.7,0.0,65,-20.9,0.0,1,721,12.9,8.25,2023-02-03 22:30:00,0.0,SYR,2023-02-03 22:30:00,SYR,19:40,00:00,104,0,0,0,0,0,0,0,0,2023-02-03 20:40:00,2023-02-03 01:00:00,2023-02-03,2023-02-03 19:40:00,-16.4,-21.7,0.0,47,-12.8,0.0,16,804,2.2,1.5,2023-02-03 19:45:00,0.0,ORD,2023-02-03 19:45:00,-60.0
9002,UA,03/03/2023,538,ORD,21:16,00:00,107,0,0,0,0,0,0,0,0,2023-03-03 21:16:00,2023-03-03 00:00:00,2023-03-03,2023-03-03 21:16:00,-5.2,-0.7,4.0,91,0.6,0.0,0,602,15.1,7.2,2023-03-03 21:15:00,32.0,SYR,2023-03-03 21:15:00,SYR,18:29,00:00,107,0,0,0,0,0,0,0,0,2023-03-03 19:29:00,2023-03-03 01:00:00,2023-03-03,2023-03-03 18:29:00,-3.7,-1.8,0.0,75,2.2,0.0,16,804,12.9,8.6,2023-03-03 18:30:00,0.0,ORD,2023-03-03 18:30:00,-60.0
9006,OO,03/04/2023,5533,ORD,10:02,00:00,112,0,0,0,0,0,0,0,0,2023-03-04 10:02:00,2023-03-04 00:00:00,2023-03-04,2023-03-04 10:02:00,-3.3,-0.7,0.0,91,0.6,1.1,5,804,7.2,3.6,2023-03-04 10:00:00,0.0,SYR,2023-03-04 10:00:00,SYR,07:10,00:00,112,0,0,0,0,0,0,0,0,2023-03-04 08:10:00,2023-03-04 01:00:00,2023-03-04,2023-03-04 07:10:00,-2.5,-2.1,0.0,92,-1.0,1.3,6,802,3.5,1.3,2023-03-04 07:15:00,0.0,ORD,2023-03-04 07:15:00,-60.0
9011,OO,03/04/2023,5308,ORD,16:49,00:00,114,0,0,0,0,0,0,0,0,2023-03-04 16:49:00,2023-03-04 00:00:00,2023-03-04,2023-03-04 16:49:00,-4.6,-1.5,0.0,86,0.6,0.6,10,804,10.3,5.9,2023-03-04 16:45:00,0.0,SYR,2023-03-04 16:45:00,SYR,13:55,00:00,114,0,0,0,0,0,0,0,0,2023-03-04 14:55:00,2023-03-04 01:00:00,2023-03-04,2023-03-04 13:55:00,9.4,-0.5,0.0,50,9.4,1.2,16,804,10.1,6.2,2023-03-04 14:00:00,0.0,ORD,2023-03-04 14:00:00,-60.0
9082,F9,03/10/2023,1214,MCO,19:10,00:00,171,0,0,0,0,0,0,0,0,2023-03-10 19:10:00,2023-03-10 00:00:00,2023-03-10,2023-03-10 19:10:00,-3.0,-0.7,0.0,89,0.9,0.0,3,804,4.8,3.76,2023-03-10 19:15:00,0.0,SYR,2023-03-10 19:15:00,SYR,16:19,16:55,171,0,36,0,0,0,0,0,0,2023-03-10 16:19:00,2023-03-10 16:55:00,2023-03-10,2023-03-10 16:19:00,28.1,14.8,0.0,44,28.2,1.3,16,804,10.7,5.37,2023-03-10 16:15:00,0.0,MCO,2023-03-10 16:15:00,-1015.0
9116,OO,03/13/2023,5308,ORD,16:47,00:00,112,0,0,0,0,0,0,0,0,2023-03-13 16:47:00,2023-03-13 00:00:00,2023-03-13,2023-03-13 16:47:00,2.8,0.9,0.0,80,4.0,0.8,16,804,1.8,1.5,2023-03-13 16:45:00,0.0,SYR,2023-03-13 16:45:00,SYR,13:55,00:00,112,0,0,0,0,0,0,0,0,2023-03-13 14:55:00,2023-03-13 01:00:00,2023-03-13,2023-03-13 13:55:00,-5.8,-5.8,0.0,65,0.0,1.7,16,804,9.8,6.82,2023-03-13 14:00:00,0.0,ORD,2023-03-13 14:00:00,-60.0
9122,YX,03/13/2023,4447,ORD,22:40,00:00,120,0,0,0,0,0,0,0,0,2023-03-13 22:40:00,2023-03-13 00:00:00,2023-03-13,2023-03-13 22:40:00,-2.3,-0.7,1.0,91,0.6,0.0,5,600,7.3,2.47,2023-03-13 22:45:00,8.0,SYR,2023-03-13 22:45:00,SYR,19:40,00:00,120,0,0,0,0,0,0,0,0,2023-03-13 20:40:00,2023-03-13 01:00:00,2023-03-13,2023-03-13 19:40:00,-6.8,-8.4,0.0,60,-1.7,0.0,14,804,9.0,4.59,2023-03-13 19:45:00,0.0,ORD,2023-03-13 19:45:00,-60.0
9124,OO,03/14/2023,5533,ORD,10:02,00:00,112,0,0,0,0,0,0,0,0,2023-03-14 10:02:00,2023-03-14 00:00:00,2023-03-14,2023-03-14 10:02:00,-5.5,-0.7,1.0,95,0.0,0.9,1,600,10.8,6.2,2023-03-14 10:00:00,15.0,SYR,2023-03-14 10:00:00,SYR,07:10,00:00,112,0,0,0,0,0,0,0,0,2023-03-14 08:10:00,2023-03-14 01:00:00,2023-03-14,2023-03-14 07:10:00,-11.7,-11.0,0.0,68,-6.1,1.4,16,802,7.0,3.93,2023-03-14 07:15:00,0.0,ORD,2023-03-14 07:15:00,-60.0
9128,YX,03/14/2023,3678,ORD,16:49,00:00,112,0,0,0,0,0,0,0,0,2023-03-14 16:49:00,2023-03-14 00:00:00,2023-03-14,2023-03-14 16:49:00,-7.5,-1.7,1.0,92,-0.6,0.8,1,600,11.8,8.96,2023-03-14 16:45:00,17.0,SYR,2023-03-14 16:45:00,SYR,13:57,00:00,112,0,0,0,0,0,0,0,0,2023-03-14 14:57:00,2023-03-14 01:00:00,2023-03-14,2023-03-14 13:57:00,-2.2,-10.1,0.0,43,1.0,4.6,16,802,12.9,2.85,2023-03-14 14:00:00,0.0,ORD,2023-03-14 14:00:00,-60.0
9132,UA,03/14/2023,538,ORD,21:17,00:00,108,0,0,0,0,0,0,0,0,2023-03-14 21:17:00,2023-03-14 00:00:00,2023-03-14,2023-03-14 21:17:00,-7.2,-1.9,0.0,94,-1.1,0.0,3,804,10.9,6.86,2023-03-14 21:15:00,0.0,SYR,2023-03-14 21:15:00,SYR,18:29,00:00,108,0,0,0,0,0,0,0,0,2023-03-14 19:29:00,2023-03-14 01:00:00,2023-03-14,2023-03-14 18:29:00,-0.3,-12.2,0.0,34,2.0,1.5,16,802,2.6,2.1,2023-03-14 18:30:00,0.0,ORD,2023-03-14 18:30:00,-60.0
9366,OO,04/04/2023,5617,ORD,16:50,00:00,115,0,0,0,0,0,0,0,0,2023-04-04 16:50:00,2023-04-04 00:00:00,2023-04-04,2023-04-04 16:50:00,11.6,5.4,0.0,66,11.6,1.0,16,804,7.8,2.72,2023-04-04 16:45:00,0.0,SYR,2023-04-04 16:45:00,SYR,13:55,00:00,115,0,0,0,0,0,0,0,0,2023-04-04 14:55:00,2023-04-04 01:00:00,2023-04-04,2023-04-04 13:55:00,9.4,7.2,4.0,86,9.4,2.2,2,500,12.1,6.2,2023-04-04 14:00:00,0.0,ORD,2023-04-04 14:00:00,-60.0
9375,YX,04/05/2023,4254,ORD,16:36,00:00,109,0,0,0,0,0,0,0,0,2023-04-05 16:36:00,2023-04-05 00:00:00,2023-04-05,2023-04-05 16:36:00,21.6,11.7,0.0,52,22.0,2.0,16,803,16.5,13.06,2023-04-05 16:30:00,0.0,SYR,2023-04-05 16:30:00,SYR,13:47,00:00,109,0,0,0,0,0,0,0,0,2023-04-05 14:47:00,2023-04-05 01:00:00,2023-04-05,2023-04-05 13:47:00,11.7,8.2,0.0,79,11.7,2.2,16,804,17.0,10.3,2023-04-05 13:45:00,0.0,ORD,2023-04-05 13:45:00,-60.0
9376,YX,04/05/2023,3524,ORD,16:50,00:00,115,0,0,0,0,0,0,0,0,2023-04-05 16:50:00,2023-04-05 00:00:00,2023-04-05,2023-04-05 16:50:00,21.8,11.6,1.0,51,22.2,2.1,16,500,17.0,13.4,2023-04-05 16:45:00,0.0,SYR,2023-04-05 16:45:00,SYR,13:55,00:00,115,0,0,0,0,0,0,0,0,2023-04-05 14:55:00,2023-04-05 01:00:00,2023-04-05,2023-04-05 13:55:00,11.7,7.6,0.0,76,11.7,2.8,16,804,15.4,9.8,2023-04-05 14:00:00,0.0,ORD,2023-04-05 14:00:00,-60.0
10213,UA,06/25/2023,636,ORD,23:59,00:00,114,0,0,0,0,0,0,0,0,2023-06-25 23:59:00,2023-06-25 00:00:00,2023-06-25,2023-06-25 23:59:00,22.2,19.3,0.0,86,21.7,0.0,16,803,5.2,2.6,2023-06-26 00:00:00,0.0,SYR,2023-06-26 00:00:00,SYR,21:05,00:00,114,0,0,0,0,0,0,0,0,2023-06-25 22:05:00,2023-06-25 01:00:00,2023-06-25,2023-06-25 21:05:00,21.9,17.1,0.0,75,21.7,0.0,16,804,8.8,5.17,2023-06-25 21:00:00,0.0,ORD,2023-06-25 21:00:00,-60.0
10221,B6,06/26/2023,2516,JFK,23:02,00:00,85,0,0,0,0,0,0,0,0,2023-06-26 23:02:00,2023-06-26 00:00:00,2023-06-26,2023-06-26 23:02:00,19.2,17.0,0.0,89,18.9,0.0,8,804,7.6,2.1,2023-06-26 23:00:00,0.0,SYR,2023-06-26 23:00:00,SYR,21:37,00:02,85,0,145,0,0,0,0,0,0,2023-06-26 21:37:00,2023-06-26 00:02:00,2023-06-26,2023-06-26 21:37:00,23.0,20.4,0.0,89,22.4,0.0,16,804,10.2,2.47,2023-06-26 21:30:00,0.0,JFK,2023-06-26 21:30:00,-2.0
10293,OO,07/05/2023,4802,ORD,16:56,00:00,116,0,0,0,0,0,0,0,0,2023-07-05 16:56:00,2023-07-05 00:00:00,2023-07-05,2023-07-05 16:56:00,32.2,16.1,0.0,38,32.2,3.7,16,802,4.8,3.6,2023-07-05 17:00:00,0.0,SYR,2023-07-05 17:00:00,SYR,14:00,00:00,116,0,0,0,0,0,0,0,0,2023-07-05 15:00:00,2023-07-05 01:00:00,2023-07-05,2023-07-05 14:00:00,31.1,21.5,0.0,66,28.5,3.9,12,804,8.4,3.22,2023-07-05 14:00:00,0.0,ORD,2023-07-05 14:00:00,-60.0
10296,MQ,07/05/2023,3402,ORD,21:32,00:00,116,0,0,0,0,0,0,0,0,2023-07-05 21:32:00,2023-07-05 00:00:00,2023-07-05,2023-07-05 21:32:00,25.0,17.7,0.0,65,24.8,0.0,16,802,1.0,0.75,2023-07-05 21:30:00,0.0,SYR,2023-07-05 21:30:00,SYR,18:36,00:00,116,0,0,0,0,0,0,0,0,2023-07-05 19:36:00,2023-07-05 01:00:00,2023-07-05,2023-07-05 18:36:00,24.5,21.0,7.0,84,23.9,0.7,9,502,10.3,4.3,2023-07-05 18:30:00,0.0,ORD,2023-07-05 18:30:00,-60.0
